,internal_id,media_outlet,policy
812,452,CBS,Supports
813,452,CBS,Supports
814,453,CNN,Supports
815,453,CNN,Supports
816,454,ABC,Supports
817,454,ABC,Supports
818,455,MSNBC,Does not mention
819,455,MSNBC,Does not mention
820,456,CNN,Does not mention
821,456,CNN,Does not mention
822,457,CNN,Does not mention
823,457,CNN,Does not mention
824,459,CNN,Does not mention
825,459,CNN,Does not mention
826,460,CNN,Does not mention
827,460,CNN,Does not mention
828,461,CNN,Does not mention
829,461,CNN,Does not mention
830,462,CBS,Does not mention
831,462,CBS,Does not mention
832,464,MSNBC,Does not mention
833,464,MSNBC,Does not mention
834,465,MSNBC,Does not mention
835,465,MSNBC,Does not mention
836,466,Fox,Opposes
837,466,Fox,Opposes
838,467,CNN,Does not mention
839,467,CNN,Does not mention
840,468,CNN,Does not mention
841,468,CNN,Does not mention
842,469,CNN,Does not mention
843,469,CNN,Does not mention
844,470,MSNBC,Does not mention
845,470,MSNBC,Does not mention
846,471,CNN,Does not mention
847,471,CNN,Does not mention
848,473,CNN,Does not mention
849,473,CNN,Does not mention
850,475,CNN,Does not mention
851,475,CNN,Does not mention
852,476,CNN,Does not mention
853,476,CNN,Does not mention
854,478,MSNBC,Does not mention
855,478,MSNBC,Does not mention
856,480,MSNBC,Does not mention
857,480,MSNBC,Does not mention
858,481,CBS,Neutral
859,481,CBS,Does not mention
860,482,CNN,Does not mention
861,482,CNN,Does not mention
862,483,CNN,Does not mention
863,483,CNN,Does not mention
864,484,CNN,Does not mention
865,484,CNN,Does not mention
866,485,Fox,Opposes
867,485,Fox,Neutral
868,486,CNN,Does not mention
869,486,CNN,Does not mention
870,487,CNN,Does not mention
871,487,CNN,Does not mention
872,488,Fox,Does not mention
873,488,Fox,Does not mention
874,489,PBS,Debate
875,489,PBS,Debate
876,490,Fox,Opposes
877,491,MSNBC,Does not mention
878,491,MSNBC,Does not mention
879,492,MSNBC,Supports
880,492,MSNBC,Supports
881,493,CNN,Supports
882,493,CNN,Supports
883,494,CNN,Does not mention
884,494,CNN,Does not mention
885,495,CNN,Does not mention
886,495,CNN,Does not mention
887,496,MSNBC,Supports
888,496,MSNBC,Supports
889,497,CNN,Does not mention
890,497,CNN,Does not mention
891,498,MSNBC,Does not mention
892,498,MSNBC,Does not mention
893,499,ABC,Does not mention
894,499,ABC,Does not mention
895,500,CNN,Does not mention
896,500,CNN,Does not mention
897,501,CNN,Does not mention
898,501,CNN,Does not mention
899,502,CNN,Does not mention
900,502,CNN,Does not mention
901,503,CBS,Does not mention
902,503,CBS,Does not mention
903,504,CNN,Does not mention
904,504,CNN,Does not mention
905,505,CNN,Does not mention
906,505,CNN,Does not mention
907,507,CNN,Does not mention
908,507,CNN,Does not mention
909,509,CNN,Supports
910,509,CNN,Supports
911,510,CNN,Does not mention
912,510,CNN,Does not mention
913,512,CNN,Does not mention
914,512,CNN,Does not mention
915,513,CNN,Does not mention
916,513,CNN,Does not mention
917,514,MSNBC,Does not mention
918,514,MSNBC,Neutral
919,515,MSNBC,Supports
920,515,MSNBC,Supports
921,516,CNN,Supports
922,516,CNN,Supports
923,518,ABC,Does not mention
924,518,ABC,Does not mention
925,519,ABC,Does not mention
926,519,ABC,Does not mention
927,520,NBC,Does not mention
928,520,NBC,Does not mention
929,521,CNN,Does not mention
930,521,CNN,Does not mention
931,522,CNN,Does not mention
932,522,CNN,Does not mention
933,523,CNN,Does not mention
934,523,CNN,Does not mention
935,524,ABC,Does not mention
936,524,ABC,Does not mention
937,525,CNN,Does not mention
938,525,CNN,Does not mention
939,526,MSNBC,Supports
940,526,MSNBC,Does not mention
941,527,CBS,Does not mention
942,527,CBS,Does not mention
943,528,MSNBC,Does not mention
944,528,MSNBC,Does not mention
945,529,CNN,Neutral
946,529,CNN,Neutral
947,531,CNN,Does not mention
948,531,CNN,Does not mention
949,532,CNN,Does not mention
950,532,CNN,Does not mention
951,533,CNN,Does not mention
952,533,CNN,Does not mention
953,534,CNN,Does not mention
954,534,CNN,Does not mention
955,535,CNN,Does not mention
956,535,CNN,Does not mention
957,538,Fox,Does not mention
958,538,Fox,Does not mention
959,539,CNN,Does not mention
960,539,CNN,Does not mention
961,540,CNN,Does not mention
962,540,CNN,Does not mention
963,541,CNN,Does not mention
964,541,CNN,Does not mention
965,542,PBS,Supports
966,542,PBS,Does not mention
967,543,CBS,Does not mention
968,543,CBS,Does not mention
969,544,Fox,Neutral
970,544,Fox,Neutral
971,545,MSNBC,Does not mention
972,545,MSNBC,Does not mention
973,546,CNN,Does not mention
974,546,CNN,Does not mention
975,547,CNN,Does not mention
976,547,CNN,Does not mention
977,548,CBS,Does not mention
978,548,CBS,Does not mention
979,549,CBS,Does not mention
980,549,CBS,Does not mention
981,550,CNN,Does not mention
982,550,CNN,Does not mention
983,551,Fox,Does not mention
984,551,Fox,Does not mention
985,552,Fox,Does not mention
986,552,Fox,Does not mention
987,553,CNN,Does not mention
988,553,CNN,Does not mention
989,554,CNN,Supports
990,554,CNN,Does not mention
991,555,MSNBC,Does not mention
992,555,MSNBC,Does not mention
993,556,NBC,Does not mention
